edge_id,kind,from_node,to_node,area_m2,resistance_Pa_s2_m6,target_m3_s,flow_m3_s,velocity_m_s,shortfall_m3_s,closed,flow_p05_m3_s,flow_p50_m3_s,flow_p95_m3_s,target_probability
l2-extract-1,return,l2-out-1,l2-out-0,22,0.037,0,38.260164312694236,1.739098377849738,0.0,False,36.1624906424238,38.265032399438965,40.566042809992894,1.0
l2-working-1,working,l2-in-1,l2-stope-1,14,1.38,18,14.24608007819085,1.0175771484422036,3.7539199218091497,False,12.956176287558119,14.196366998180476,15.702488067795635,0.0
l2-stope-return-1,return,l2-stope-1,l2-out-1,15,0.255,0,14.24608007819085,0.94973867187939,0.0,False,12.956176287558119,14.196366998180476,15.702488067795635,1.0
l2-supply-2,intake,l2-in-1,l2-in-2,22,0.041,0,20.821734133180296,0.9464424605991044,0.0,False,18.743994749393202,20.86400060067252,23.395414124622185,1.0
l2-extract-2,return,l2-out-2,l2-out-1,22,0.044,0,24.014084234503382,1.0915492833865175,0.0,False,22.35841784134434,23.982534366182367,25.681639949499655,1.0
l2-working-2,working,l2-in-2,l2-stope-2,15,1.5699999999999998,15,12.458004084483912,0.8305336056322609,2.541995915516088,False,11.234389392042196,12.42685307335189,13.668734138905867,0.0
l2-stope-return-2,return,l2-stope-2,l2-out-2,15,0.29000000000000004,0,12.458004084483912,0.8305336056322609,0.0,False,11.234389392042196,12.42685307335189,13.668734138905867,1.0
l2-supply-3,intake,l2-in-2,l2-in-3,22,0.049,0,8.363730048696384,0.38016954766801747,0.0,False,6.458095926077265,8.513901623154041,10.592974625633216,1.0
l2-extract-3,return,l2-out-3,l2-out-2,22,0.051000000000000004,0,11.556080150019474,0.5252763704554306,0.0,False,10.28417940253625,11.551508138539704,12.668680194733076,1.0
l2-working-3,working,l2-in-3,l2-stope-3,16,1.76,18,11.556080150019474,0.7222550093762171,6.443919849980526,False,10.28417940253625,11.551508138539704,12.668680194733076,0.0
l2-stope-return-3,return,l2-stope-3,l2-out-3,15,0.325,0,11.556080150019474,0.7704053433346316,0.0,False,10.28417940253625,11.551508138539704,12.668680194733076,1.0
ramp-link-2,crosscut,l1-in-3,l2-in-3,16,0.85,0,3.1923501013230884,0.19952188133269302,0.0,False,1.0131922230404322,3.0505285364711394,4.8303339587208,1.0
leakage-0,crosscut,intake-0,return-0,12,18,0,8.524877650451195,0.7104064708709329,0.0,False,7.568811331756092,8.697678304547647,9.585688172469474,1.0
leakage-1,crosscut,intake-1,return-1,12,18,0,6.390442058734999,0.5325368382279166,0.0,False,5.670002728397202,6.434759016565984,7.21362369065791,1.0
leakage-2,crosscut,intake-2,return-2,12,18,0,5.716897814728844,0.47640815122740365,0.0,False,5.132901838086539,5.712149248938674,6.407865715638485,1.0
