edge_id,kind,from_node,to_node,area_m2,resistance_Pa_s2_m6,target_m3_s,flow_m3_s,velocity_m_s,shortfall_m3_s,closed,flow_p05_m3_s,flow_p50_m3_s,flow_p95_m3_s,target_probability
l2-stope-return-2,return,l2-stope-2,l2-out-2,15,0.29000000000000004,0,9.985568023563028,0.6657045349042019,0.0,False,8.909968024322293,9.896711179167365,10.872971179514854,1.0
ramp-link-2,crosscut,l1-in-2,l2-in-2,16,0.85,0,9.385617360635269,0.5866010850397043,0.0,False,7.595416170653363,9.207159433035752,10.894597837118393,1.0
intake-shaft-3,intake,intake-2,intake-3,30,0.024,0,57.98944222894508,1.9329814076315026,0.0,False,54.99274391800013,57.95307326521164,61.12854419666069,1.0
return-shaft-3,return,return-3,return-2,28,0.024,0,63.48331237572637,2.267261156275942,0.0,False,60.39165413304724,63.474775642077006,66.43064570924363,1.0
l3-supply-0,intake,intake-3,l3-in-0,22,0.025,0,-6.031627920043194,-0.2741649054565088,6.031627920043194,False,-9.500718471689286,-6.035748149011486,-3.1239056929759137,1.0
l3-extract-0,return,l3-out-0,return-3,22,0.03,0,20.494746454275923,0.9315793842852692,0.0,False,18.275014215230243,20.432552114345683,23.057167166644987,1.0
l3-working-0,working,l3-in-0,l3-stope-0,13,1.4100000000000001,15,7.104188558307429,0.5464760429467254,7.895811441692571,False,6.000306865701198,7.069308369848995,8.165081692257523,0.0
l3-stope-return-0,return,l3-stope-0,l3-out-0,15,0.22,0,7.104188558307429,0.4736125705538286,0.0,False,6.000306865701198,7.069308369848995,8.165081692257523,1.0
l3-supply-1,intake,l3-in-0,l3-in-1,22,0.033,0,-13.135816478350623,-0.5970825671977557,13.135816478350623,False,-15.840011746195453,-13.116958168870056,-10.972036527804244,1.0
l3-extract-1,return,l3-out-1,l3-out-0,22,0.037,0,13.390557895968492,0.6086617225440224,0.0,False,11.803054525708903,13.382269010785812,14.992779128866886,1.0
l3-working-1,working,l3-in-1,l3-stope-1,14,1.6,18,6.62125368701015,0.47294669192929645,11.37874631298985,False,5.702919055910934,6.615922121785614,7.679604238530512,0.0
l3-stope-return-1,return,l3-stope-1,l3-out-1,15,0.255,0,6.62125368701015,0.4414169124673434,0.0,False,5.702919055910934,6.615922121785614,7.679604238530512,1.0
